20000002	秘宝城
20000003	魔龙岛
20010001	死骨荒漠
20010003	禁忌之海
20010005	微风平原
20010006	海皇遗迹
20010007	熔岩炼狱
20010008	永燃山谷
20010009	暮色森林
20010011	不朽圣殿
20020101	不朽秘境
20020102	混沌星空
20020103	水晶矿洞
20020104	海皇宝藏
20020105	水晶矿洞
20020106	符文塔1
20020107	符文塔2
20020108	符文塔3
20020109	符文塔4
20020110	炼金秘境
20020111	波那岛副本
20020115	波那岛副本
20020112	试炼秘境
20020113	猎人学院
20020114	魔能巢穴
20020116	猎人学院
20020117	荒野遗迹
20020118	炼金实验室
20020119	深渊禁地
20020120	古代遗迹一层
20020121	古代遗迹二层
20020122	古代遗迹三层
20030001	炼狱斗技场
20030002	藏宝图宝库
20030003	宝藏副本
20030004	失落遗迹一层
20030005	失落遗迹二层
20030006	失落遗迹三层
20030007	失落遗迹四层
20030008	失落遗迹五层
20030011	专属魔王
20030012	原力火山
20030013	狩猎峡谷
20040004	微风平原
20040201	秘宝城
20040202	秘宝城
20040203	微风平原
20040204	微风平原
20040205	微风平原
20040206	禁忌之海
20040207	禁忌之海
20040208	禁忌之海
20040209	秘宝城
20040210	永燃山谷
20040211	秘宝城
20040212	死骨荒漠
20040213	死骨荒漠
20040214	秘宝城
20040215	海皇遗迹
20040216	海皇遗迹
20040217	海皇遗迹
20040218	海皇遗迹
20040219	海皇遗迹
20040220	海皇遗迹
20040221	禁忌之海
20040222	魔能巢穴
20040223	永燃山谷
20040301	禁忌之海
20040302	禁忌之海
20040303	禁忌之海
20040304	禁忌之海
20040305	禁忌之海
20040320	地精矿洞
20090001	佣兵驻地
20090002	秘宝城暗巷
20090003	宝藏遗迹
20010004	破碎之地
20050001	地下角斗场
